OBJECTID,route_id,direction_id,time_period,speed_mph,base64_url,org_id,agency,district_name,route_name,Shape_Length
1,2018,1,peak,28.40595873,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9sYWtldHJhbnNpdC1jYS11cy9sYWtldHJhbnNpdC1jYS11cy56aXA=,recPwXKbGLL4aIqXV,Lake Transit Authority,01 - Eureka,"Soda Bay, Kit?s Corner to Lakeport",40360.1456555669
2,2018,1,all_day,28.40595873,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9sYWtldHJhbnNpdC1jYS11cy9sYWtldHJhbnNpdC1jYS11cy56aXA=,recPwXKbGLL4aIqXV,Lake Transit Authority,01 - Eureka,"Soda Bay, Kit?s Corner to Lakeport",40360.1456555669
3,2018,0,peak,24.62676954,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9sYWtldHJhbnNpdC1jYS11cy9sYWtldHJhbnNpdC1jYS11cy56aXA=,recPwXKbGLL4aIqXV,Lake Transit Authority,01 - Eureka,"Soda Bay, Kit?s Corner to Lakeport",43101.6445341956
4,2018,0,all_day,24.62676954,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9sYWtldHJhbnNpdC1jYS11cy9sYWtldHJhbnNpdC1jYS11cy56aXA=,recPwXKbGLL4aIqXV,Lake Transit Authority,01 - Eureka,"Soda Bay, Kit?s Corner to Lakeport",43101.6445341956
5,154,0,offpeak,16.25824509,aHR0cHM6Ly9ob3N0ZWQtZ3Rmcy1mZWVkcy5zMy5hbWF6b25hd3MuY29tL1JBQkEvZ3Rmcy56aXA=,recx4ZG2lvZb7kGAL,Shasta County,02 - Redding, ,13821.3965172508
6,154,0,peak,15.20679539,aHR0cHM6Ly9ob3N0ZWQtZ3Rmcy1mZWVkcy5zMy5hbWF6b25hd3MuY29tL1JBQkEvZ3Rmcy56aXA=,recx4ZG2lvZb7kGAL,Shasta County,02 - Redding, ,13821.3965172508
7,154,0,all_day,15.67466074,aHR0cHM6Ly9ob3N0ZWQtZ3Rmcy1mZWVkcy5zMy5hbWF6b25hd3MuY29tL1JBQkEvZ3Rmcy56aXA=,recx4ZG2lvZb7kGAL,Shasta County,02 - Redding, ,13821.3965172508
8,154,1,offpeak,15.22128833,aHR0cHM6Ly9ob3N0ZWQtZ3Rmcy1mZWVkcy5zMy5hbWF6b25hd3MuY29tL1JBQkEvZ3Rmcy56aXA=,recx4ZG2lvZb7kGAL,Shasta County,02 - Redding, ,15168.601012312
9,154,1,peak,16.44017716,aHR0cHM6Ly9ob3N0ZWQtZ3Rmcy1mZWVkcy5zMy5hbWF6b25hd3MuY29tL1JBQkEvZ3Rmcy56aXA=,recx4ZG2lvZb7kGAL,Shasta County,02 - Redding, ,15168.601012312
10,154,1,all_day,15.85130108,aHR0cHM6Ly9ob3N0ZWQtZ3Rmcy1mZWVkcy5zMy5hbWF6b25hd3MuY29tL1JBQkEvZ3Rmcy56aXA=,recx4ZG2lvZb7kGAL,Shasta County,02 - Redding, ,15168.601012312
11,af92ad39-d491-4c92-adff-2bf4a1de91fd,0,peak,25.72830261,aHR0cHM6Ly93d3cueW9sb2J1cy5jb20vR1RGUy9nb29nbGVfdHJhbnNpdC56aXA=,recH2FdHvrL7nIpHA,Yolo County Transportation District,03 - Marysville,DAVIS EXPRESS - 43-R AM,33075.7771127172
12,af92ad39-d491-4c92-adff-2bf4a1de91fd,0,all_day,25.72830261,aHR0cHM6Ly93d3cueW9sb2J1cy5jb20vR1RGUy9nb29nbGVfdHJhbnNpdC56aXA=,recH2FdHvrL7nIpHA,Yolo County Transportation District,03 - Marysville,DAVIS EXPRESS - 43-R AM,33075.7771127172
13,2036,0,offpeak,14.99334426,aHR0cHM6Ly92aXNhbGlhdHJhbnNpdC5pbmZvL0dURlM=,rec6gNibVKjDVy4aX,City of Visalia,06 - Fresno, ,11348.8112822147
14,2036,0,peak,14.35727635,aHR0cHM6Ly92aXNhbGlhdHJhbnNpdC5pbmZvL0dURlM=,rec6gNibVKjDVy4aX,City of Visalia,06 - Fresno, ,11348.8112822147
15,2036,0,all_day,14.66841808,aHR0cHM6Ly92aXNhbGlhdHJhbnNpdC5pbmZvL0dURlM=,rec6gNibVKjDVy4aX,City of Visalia,06 - Fresno, ,11348.8112822147
16,2036,1,offpeak,12.13860893,aHR0cHM6Ly92aXNhbGlhdHJhbnNpdC5pbmZvL0dURlM=,rec6gNibVKjDVy4aX,City of Visalia,06 - Fresno, ,11435.3971559716
17,2036,1,peak,15.36464686,aHR0cHM6Ly92aXNhbGlhdHJhbnNpdC5pbmZvL0dURlM=,rec6gNibVKjDVy4aX,City of Visalia,06 - Fresno, ,11435.3971559716
18,2036,1,all_day,13.63860542,aHR0cHM6Ly92aXNhbGlhdHJhbnNpdC5pbmZvL0dURlM=,rec6gNibVKjDVy4aX,City of Visalia,06 - Fresno, ,11435.3971559716
19,7,1,offpeak,21.04715445,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,recot6qBamlOoLcrM,City of Fairfield,04 - Oakland,FTC/Solano College/Cordelia Library,17856.1733096282
20,7,1,peak,20.97924752,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,recot6qBamlOoLcrM,City of Fairfield,04 - Oakland,FTC/Solano College/Cordelia Library,17856.1733096282
21,7,1,all_day,21.01314612,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,recot6qBamlOoLcrM,City of Fairfield,04 - Oakland,FTC/Solano College/Cordelia Library,17856.1733096282
22,7,0,offpeak,21.77866363,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,recot6qBamlOoLcrM,City of Fairfield,04 - Oakland,FTC/Solano College/Cordelia Library,17023.4682499671
23,7,0,peak,21.1563989,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,recot6qBamlOoLcrM,City of Fairfield,04 - Oakland,FTC/Solano College/Cordelia Library,17023.4682499671
24,7,0,all_day,21.43200505,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1GUw==,recot6qBamlOoLcrM,City of Fairfield,04 - Oakland,FTC/Solano College/Cordelia Library,17023.4682499671
25,2,0,offpeak,14.56684509,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1VQw==,recmB4uxrVLRXYF3L,City of Union City,04 - Oakland,Whipple,11234.2004475811
